Player,country,team,age,captain,role,sold
Mayank Markande,IND,MI,25,0,Bowling,65l
Shikhar Dhawan,IND,PK,37,0,Batting,8.25cr
Liam Livingstone,ENG,PK,29,0,All rounder,11.50cr
Jonny Bairstow,ENG,PK,33,0,Batting,6.75cr
Jitesh Sharma,IND,PK,29,0,Batting,20l
Bhanuka Rajapaksa,SL,PK,31,0,Batting,50l
Mayank Agarwal,IND,PK,32,1,Batting,14cr
Shahrukh Khan,IND,PK,27,0,Batting,9cr
Rahul Chahar,IND,PK,23,0,Bowling,5.25cr
Odean Smith,WI,PK,26,0,All rounder,6cr
Kagiso Rabada,SA,PK,27,0,Bowling,9.25cr
Rishi Dhawan,IND,PK,33,0,All rounder,55l
Harpreet Brar,IND,PK,27,0,All rounder,3.80cr
Arshdeep Singh,IND,PK,24,0,Bowling,4cr
Prabhsimran Singh,IND,PK,22,0,Batting,60l
Rajangad Bawa,IND,PK,20,0,All rounder,2cr
Vaibhav Arora,IND,PK,25,0,Bowling,2cr
Prerak Mankad,IND,PK,28,0,Batting,20l
Nathan Ellis,AUS,PK,28,0,Bowling,75l
Sandeep Sharma,IND,PK,29,0,Bowling,50l
Faf Du Plessis,SA,RCB,38,1,Batting,7cr
Virat Kohli,IND,RCB,34,0,Batting,15cr
Rajat Patidar,IND,RCB,29,0,Batting,20l
Dinesh Karthik,IND,RCB,37,0,Batting,5.50cr
Glenn Maxwell,AUS,RCB,34,0,All rounder,11cr
Shahbaz Ahmed,IND,RCB,28,0,All rounder,2.40cr
Anuj Rawat,IND,RCB,23,0,Batting,3.20cr
Mahipal Lomror,IND,RCB,23,0,All rounder,95l
Suyash S Prabhudessai,IND,RCB,25,0,Batting,30l
Harshal Patel,IND,RCB,32,0,All rounder,10.75cr
Wanindu Hasaranga,SL,RCB,25,0,All rounder,10.75cr
Mohammed Siraj,IND,RCB,29,0,Bowling,7cr
Josh Hazlewood,AUS,RCB,32,0,Bowling,7.75cr
David Willey,ENG,RCB,33,0,All rounder,2cr
Akash Deep,IND,RCB,26,0,Bowling,20l
Jos Buttler,ENG,RR,32,0,Batting,10cr
Sanju Samson,IND,RR,28,2,Batting,14cr
Devdutt Padikkal,IND,RR,22,0,Batting,7.75cr
Shimron Hetmyer,WI,RR,26,0,Batting,8.50cr
Yashasvi Jaiswal,IND,RR,21,0,Batting,4cr
Ravichandran Ashwin,IND,RR,36,0,All rounder,5cr
Riyan Parag,IND,RR,21,0,All rounder,3.80cr
Trent Boult,NZ,RR,33,0,Bowling,8cr
Daryl Mitchell,NZ,RR,31,0,All rounder,75l
James Neesham,NZ,RR,32,0,All rounder,1.50cr
Rassie van der Dussen,SA,RR,34,0,Batting,1cr
Karun Nair,IND,RR,31,0,Batting,1.40cr
Obed McCoy,WI,RR,26,0,Bowling,75l
Prasidh Krishna,IND,RR,27,0,Bowling,10cr
Yuzvendra Chahal,IND,RR,32,0,Bowling,6.50cr
Navdeep Saini,IND,RR,30,0,Bowling,2.60cr
Nathan Coulter-Nile,AUS,RR,35,0,Bowling,2cr
Kuldeep Sen,IND,RR,26,0,Bowling,20l
Abhishek Sharma,IND,SRH,22,0,All rounder,6.50cr
Rahul Tripathi,IND,SRH,32,0,Batting,8.5cr
Aiden Markram,SA,SRH,28,0,All rounder,2.60cr
Nicholas Pooran,WI,SRH,27,0,Batting,10.75cr
Kane Williamson,NZ,SRH,32,2,Batting,14cr
Washington Sundar,IND,SRH,23,0,All rounder,8.75cr
Shashank Singh,IND,SRH,31,0,Batting,20l
Romario Shepherd,WI,SRH,28,0,All rounder,7.75cr
Priyam Garg,IND,SRH,22,0,Batting,20l
Bhuvneshwar Kumar,IND,SRH,33,0,Bowling,4.20cr
Shreyas Gopal,IND,SRH,29,0,All rounder,75l
Marco Jansen,SA,SRH,22,0,All rounder,4.20cr
Sean Abbott,AUS,SRH,31,0,All rounder,2.40cr
Kartik Tyagi,IND,SRH,22,0,Bowling,4cr
Abdul Samad,IND,SRH,21,0,All rounder,4cr
Umran Malik,IND,SRH,23,0,Bowling,4cr
Fazalhaq Farooqi,AFG,SRH,22,0,Bowling,50l
Jagadeesha Suchith,IND,SRH,29,0,All rounder,20l
T Natarajan,IND,SRH,31,0,Bowling,4cr
